,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,chercher,search
2,2,2,seulement,only
3,3,3,aide,help
4,4,4,genre,kind
5,5,5,mois,month
6,6,6,frère,brother
7,7,7,mettre,to put
8,8,8,aucun,no
9,9,9,laisse,leash
10,10,10,eux,them
11,11,11,ville,city
12,13,13,parlé,speak
13,14,14,arrivé,come
14,15,15,devrait,should
15,16,16,longtemps,long time
16,17,17,heures,hours
17,18,18,pendant,while
18,19,19,revoir,meet again
19,20,20,place,square
20,21,22,savais,knew
21,22,23,étaient,were
22,23,24,attention,Warning
23,24,25,voici,here is
24,25,26,pourrais,could
25,26,27,affaire,case
26,27,28,donner,give
27,28,30,leurs,their
28,29,31,donné,given
29,30,32,train,train
30,31,33,corps,body
31,32,34,façon,way
32,33,35,écoute,listen
33,34,36,dont,whose
34,35,37,perdu,lost
35,36,38,main,hand
36,38,40,pouvoir,power
37,39,41,vieux,old
38,40,42,sois,be
39,41,43,tiens,here
40,42,44,matin,morning
41,43,45,tellement,so much
42,44,48,venu,came
43,45,49,suite,after
44,46,50,pardon,sorry
45,47,51,venez,come
46,48,52,devant,in front of
47,49,53,vers,towards
48,50,54,minutes,minutes
49,51,55,demandé,request
50,52,56,mis,placed
51,53,57,belle,beautiful
52,54,58,droit,law
53,55,59,aimerais,would like to
54,56,60,aujourd'hui,today
55,57,62,cause,cause
56,58,63,enfin,finally
57,59,64,espère,hope
58,60,65,eau,water
59,61,66,attendez,Wait
60,62,68,nouvelle,new
61,63,69,boulot,job
62,64,70,arrêter,Stop
63,65,71,dirait,would say
64,66,72,compte,account
65,67,73,donne,given
66,68,74,loin,far
67,69,75,fin,end
68,70,76,croire,believe
69,71,77,chérie,sweetheart
70,72,78,gros,large
71,73,79,plutôt,rather
72,74,80,filles,girls
73,75,82,bureau,office
