,Italian,English
0,sono,I am
1,io,I
2,il suo,his
3,che,that
4,lui,he
5,era,he/she was
6,per,for
7,su,on
8,come,as/like
9,con,with
10,loro,they
11,essere,to be
12,a,at
13,uno,one
14,avere,to have
15,questo,this
16,da,from
17,di,by
18,caldo,hot
19,parola,word
20,ma,but
21,cosa,what
22,alcuni,some
23,è,is
24,quello,that
25,voi,you (pl)
26,o,or
27,aveva,had
28,il,the
29,di,of
30,a,to
31,e,and
32,un,a
33,in,in
34,noi,we
35,lattina,can (of soda)
36,fuori,out
37,altro,other
38,erano,were
39,che / quale,which
40,fare,to do/make
41,loro,their
42,tempo,time
43,se,if
44,volontà,will
45,come,how
46,detto,said
47,un,an
48,ogni,each
49,dire,tell
50,fa,does
51,fisso,set (unchanging)
52,tre,three
53,desiderare,desire
54,aria,air
55,bene,well
56,anche,also
57,giocare,play
58,piccolo,small
59,fine,end
60,mettere,put
61,casa,home
62,leggere,read
63,mano,hand
64,portare,carry
65,grande,large
66,compitare,spell (words)
67,aggiungere,add
68,anche,even/also
69,terra,land
70,qui,here
71,devo,I must
72,grande,big
73,alto,high/tall
74,tale,such
75,seguire,follow
76,atto,an act
77,perché,why
78,chiedere,ask
79,maschi,men
80,cambiamento,a change
81,è andato,he/she went
82,luce,light
83,tipo,kind (of thing)
84,spento,turned off
85,bisogno,need
86,casa,house
87,immagine,image
88,provare,try
89,noi,us
90,di nuovo,again
91,animale,animal
92,punto,point
93,madre,mother
94,mondo,world
95,vicino,near
96,costruire,build
97,se stesso,himself
98,terra,earth
99,padre,father
100,qualsiasi,any
101,nuovo,new
102,lavoro,work
103,parte,part
104,prendere,take
105,ottenere,get
106,posto,place
107,fatto,made
108,vivere,live
109,dove,where
110,dopo,after
111,indietro,back
112,poco,little
113,solo,only
114,turno,round
115,uomo,man
116,anno,year
117,è venuto,came
118,spettacolo,show
119,ogni,every
120,buono,good
121,me,me
122,dare,give
123,il nostro,our
124,sotto,under
125,nome,name
126,molto,very
127,attraverso,through
128,solo,just
129,forma,form
130,frase,sentence
131,grande,great
132,pensare,think
133,dire,say
134,aiutare,help
135,basso,low
136,linea,line
137,differire,differ
138,turno,turn
139,causa,cause
140,molto,much
141,dire,mean
142,prima,before
143,spostare,move
144,diritto,right
145,ragazzo,boy
146,vecchio,old
147,troppo,too
148,stesso,same
149,lei,she
150,tutto,all
151,ci,there
152,quando,when
153,su,up
154,uso,use
155,il tuo,your
156,modo,way
157,circa,about
158,molti,many
159,allora,then
160,loro,them
161,scrivere,write
162,sarebbe,would
163,come,like
164,così,so
165,queste,these
166,lei,her
167,lungo,long
168,rendere,make
169,cosa,thing
170,vedere,see
171,lui,him
172,due,two
173,ha,has
174,guardare,look
175,di più,more
176,giorno,day
177,potuto,could
178,andare,go
179,venire,come
180,ha fatto,did
181,numero,number
182,suono,sound
183,no,no
184,più,most
185,persone,people
186,il mio,my
187,oltre,over
188,sapere,know
189,acqua,water
190,di,than
191,chiamata,call
192,primo,first
193,che,who
194,può,may
195,giù,down
196,lato,side
197,stato,been
198,ora,now
199,trovare,find
200,testa,head
201,stare in piedi,stand
202,proprio,own
203,pagina,page
204,dovrebbe,should
205,paese,country
206,fondare,found
207,risposta,answer
208,scuola,school
209,crescere,grow
210,studio,study
211,ancora,still
212,imparare,learn
213,impianto,plant
214,copertura,cover
215,cibo,food
216,sole,sun
217,quattro,four
218,fra,between
219,stato,state
220,mantenere,keep
221,occhio,eye
222,mai,never
223,ultimo,last
224,lasciare,let
225,pensiero,thought
226,città,city
227,albero,tree
228,attraversare,cross
229,fattoria,farm
230,difficile,hard
231,inizio,start
232,forza,might
233,storia,story
234,sega,saw
235,lontano,far
236,mare,sea
237,disegnare,draw
238,sinistra,left
239,tardi,late
240,run,run
241,non,don’t
242,mentre,while
243,stampa,press
244,close,close
245,notte,night
246,reale,real
247,vita,life
248,pochi,few
249,nord,north
250,libro,book
251,portare,carry
252,ha preso,took
253,scienza,science
254,mangiare,eat
255,camera,room
256,amico,friend
257,ha iniziato,began
258,idea,idea
259,pesce,fish
260,montagna,mountain
261,stop,stop
262,una volta,once
263,base,base
264,sentire,hear
265,cavallo,horse
266,taglio,cut
267,sicuro,sure
268,orologio,watch
269,colore,color
270,volto,face
271,legno,wood
272,principale,main
273,aperto,open
274,sembrare,seem
275,insieme,together
276,prossimo,next
277,bianco,white
278,bambini,children
279,inizio,begin
280,ottenuto,got
281,camminare,walk
282,esempio,example
283,alleviare,ease
284,carta,paper
285,gruppo,group
286,sempre,always
287,musica,music
288,quelli,those
289,entrambi,both
290,marchio,mark
291,spesso,often
292,lettera,letter
293,fino a quando,until
294,miglio,mile
295,fiume,river
296,auto,car
297,piedi,feet
298,cura,care
299,secondo,second
300,abbastanza,enough
301,pianura,plain
302,ragazza,girl
303,solito,usual
304,giovane,young
305,pronto,ready
306,sopra,above
307,mai,ever
308,rosso,red
309,elenco,list
310,anche se,though
311,sentire,feel
312,Discussioni,talk
313,uccello,bird
314,presto,soon
315,corpo,body
316,cane,dog
317,famiglia,family
318,diretto,direct
319,posa,pose
320,lasciare,leave
321,canzone,song
322,misurare,measure
323,porta,door
324,prodotto,product
325,nero,black
326,breve,short
327,numerale,numeral
328,classe,class
329,vento,wind
330,domanda,question
331,accadere,happen
332,integrale,complete
333,nave,ship
334,area,area
335,metà,half
336,rock,rock
337,ordine,order
338,fuoco,fire
339,sud,south
340,problema,problem
341,pezzo,piece
342,ha detto,told
343,sapeva,knew
344,passare,pass
345,da,since
346,top,top
347,tutto,whole
348,re,king
349,strada,street
350,pollice,inch
351,moltiplicare,multiply
352,niente,nothing
353,corso,course
354,soggiornare,stay
355,ruota,wheel
356,completo,full
357,vigore,force
358,blu,blue
359,oggetto,object
360,decidere,decide
361,superficie,surface
362,profondità,deep
363,luna,moon
364,isola,island
365,piede,foot
366,sistema,system
367,occupato,busy
368,test,test
369,record,record
370,barca,boat
371,comune,common
372,oro,gold
373,possibile,possible
374,piano,plane
375,vece,stead
376,asciutto,dry
377,meraviglia,wonder
378,ridere,laugh
379,migliaia,thousand
380,fa,ago
381,corse,ran
382,controllare,check
383,gioco,game
384,forma,shape
385,uguagliare,equate
386,caldo,hot
387,perdere,miss
388,portato,brought
389,calore,heat
390,neve,snow
391,pneumatico,tire
392,portare,bring
393,sì,yes
394,lontano,distant
395,riempire,fill
396,est,east
397,dipingere,paint
398,lingua,language
399,tra,among
400,unità,unit
401,potenza,power
402,città,town
403,fine,fine
404,certo,certain
405,volare,fly
406,cadere,fall
407,portare,lead
408,grido,cry
409,scuro,dark
410,macchina,machine
411,nota,note
412,aspettare,wait
413,piano,plan
414,figura,figure
415,stella,star
416,scatola,box
417,sostantivo,noun
418,campo,field
419,resto,rest
420,corretto,correct
421,in grado di,able
422,libbra,pound
423,done,done
424,bellezza,beauty
425,unità,drive
426,sorgeva,stood
427,contenere,contain
428,frontale,front
429,insegnare,teach
430,settimana,week
431,finale,final
432,ha dato,gave
433,verde,green
434,oh,oh
435,veloce,quick
436,sviluppare,develop
437,oceano,ocean
438,caldo,warm
439,gratuito,free
440,minuto,minute
441,forte,strong
442,speciale,special
443,mente,mind
444,dietro,behind
445,chiaro,clear
446,coda,tail
447,produrre,produce
448,fatto,fact
449,spazio,space
450,sentito,heard
451,migliore,best
452,ora,hour
453,meglio,better
